"client_id","age","gender","city"
2476,34,M,г. Москва
2479,34,M,г. Москва
4348,29,F,г. Москва
2484,29,M,г. Москва
2746,42,M,г. Москва
2493,30,M,г. Москва
4371,57,F,г. Москва
2768,27,F,г. Москва
4384,23,F,г. Москва
2512,28,M,г. Москва
2519,30,F,г. Москва
2521,19,F,г. Москва
2795,34,M,г. Москва
2524,44,F,г. Москва
2526,61,F,г. Москва
2532,40,M,г. Москва
2803,24,M,г. Москва
2545,24,F,г. Москва
4473,20,M,г. Москва
2556,21,F,г. Москва
2557,18,F,г. Москва
2845,27,F,г. Москва
2566,22,F,г. Москва
2567,46,M,г. Москва
2573,31,M,г. Москва
4512,23,F,г. Москва
2586,31,M,г. Москва
2589,23,F,г. Москва
3698,29,F,г. Москва
2597,26,M,г. Москва
3713,27,M,г. Москва
2902,22,F,г. Москва
2612,18,F,г. Москва
2615,20,F,г. Москва
3721,43,F,г. Москва
3724,30,F,г. Москва
2913,29,M,г. Москва
4560,22,M,г. Москва
2636,48,F,г. Москва
2638,21,F,г. Москва
2640,18,F,г. Москва
2643,21,F,г. Москва
4604,21,F,г. Москва
3775,32,M,г. Москва
2937,21,F,г. Москва
2653,30,M,г. Москва
2655,68,F,г. Москва
2660,22,F,г. Москва
2672,34,M,г. Москва
2677,24,F,г. Москва
2680,19,M,г. Москва
2682,32,F,г. Москва
2684,18,M,г. Москва
4654,21,F,г. Москва
2692,30,M,г. Москва
2697,25,F,г. Москва
2712,31,M,г. Москва
2713,49,M,г. Москва
2723,55,F,г. Москва
2729,23,M,г. Москва
3871,25,F,г. Москва
2738,21,M,г. Москва
2754,19,F,г. Москва
2758,51,F,г. Москва
2759,24,F,г. Москва
2762,19,F,г. Москва
2767,21,F,г. Москва
3906,20,F,г. Москва
2779,20,M,г. Москва
2780,18,M,г. Москва
2781,24,F,г. Москва
3074,36,M,г. Москва
2789,19,F,г. Москва
3077,26,M,г. Москва
2793,57,F,г. Москва
2794,61,F,г. Москва
